Customer ID,Customer Name,Segment
BM-11575,Brendan Murry,Corporate
LR-16915,Lena Radford,Consumer
CA-12310,Christine Abelman,Corporate
BO-11350,Bill Overfelt,Corporate
EB-13975,Erica Bern,Corporate
BP-11185,Ben Peterman,Corporate
AJ-10795,Anthony Johnson,Corporate
DW-13480,Dianna Wilson,Home Office
NM-18520,Neoma Murray,Consumer
JO-15145,Jack O'Briant,Corporate
VS-21820,Vivek Sundaresam,Consumer
LA-16780,Laura Armstrong,Corporate
MF-17665,Maureen Fritzler,Corporate
KB-16585,Ken Black,Corporate
JB-16000,Joy Bell-,Consumer
DE-13255,Deanra Eno,Home Office
MP-17470,Mark Packer,Home Office
AG-10675,Anna Gayman,Consumer
Dp-13240,Dean percer,Home Office
RC-19825,Roy Collins,Consumer
WB-21850,William Brown,Consumer
BE-11335,Bill Eplett,Home Office
EH-13945,Eric Hoffmann,Consumer
CC-12430,Chuck Clark,Home Office
DL-13495,Dionis Lloyd,Corporate
TD-20995,Tamara Dahlen,Consumer
PG-18895,Paul Gonzalez,Consumer
CM-11935,Carlos Meador,Consumer
MC-17275,Marc Crier,Consumer
FP-14320,Frank Preis,Consumer
BT-11530,Bradley Talbott,Home Office
TB-21280,Toby Braunhardt,Consumer
CB-12415,Christy Brittain,Consumer
CB-12535,Claudia Bergmann,Corporate
HG-14965,Henry Goldwyn,Corporate
TB-21355,Todd Boyes,Corporate
JD-15895,Jonathan Doherty,Corporate
JF-15490,Jeremy Farry,Consumer
SC-20725,Steven Cartwright,Consumer
TB-21250,Tim Brockman,Consumer
HE-14800,Harold Engle,Corporate
DF-13135,David Flashing,Consumer
SC-20050,Sample Company A,Home Office
AB-10150,Aimee Bixby,Consumer
JK-15325,Jason Klamczynski,Corporate
BF-11170,Ben Ferrer,Home Office
CK-12760,Cyma Kinney,Corporate
SM-20950,Suzanne McNair,Corporate
AB-10105,Adrian Barton,Consumer
SE-20110,Sanjit Engle,Consumer
NS-18640,Noel Staavos,Corporate
LC-17050,Liz Carlisle,Consumer
TB-21520,Tracy Blumstein,Consumer
MS-17365,Maribeth Schnelling,Consumer
JB-15400,Jennifer Braxton,Corporate
PP-18955,Paul Prost,Home Office
AZ-10750,Annie Zypern,Consumer
KB-16240,Karen Bern,Corporate
CA-12265,Christina Anderson,Consumer
BE-11410,Bobby Elias,Consumer
CH-12070,Cathy Hwang,Home Office
MH-17440,Mark Haberlin,Corporate
JR-16210,Justin Ritter,Corporate
PB-19210,Phillip Breyer,Corporate
JS-15880,John Stevenson,Consumer
RD-19810,Ross DeVincentis,Home Office
DK-13090,Dave Kipp,Consumer
FM-14380,Fred McMath,Consumer
PG-18820,Patrick Gardner,Consumer
EA-14035,Erin Ashbrook,Corporate
JD-15790,John Dryer,Consumer
GW-14605,Giulietta Weimer,Consumer
JF-15565,Jill Fjeld,Consumer
GT-14710,Greg Tran,Consumer
AH-10210,Alan Hwang,Consumer
MC-17635,Matthew Clasen,Corporate
BV-11245,Benjamin Venier,Corporate
LC-16960,Lindsay Castell,Home Office
PV-18985,Paul Van Hugh,Home Office
TZ-21580,Tracy Zic,Consumer
AC-10420,Alyssa Crouse,Corporate
BD-11725,Bruce Degenhardt,Consumer
DL-12865,Dan Lawera,Consumer
EB-13930,Eric Barreto,Consumer
DW-13540,Don Weiss,Consumer
LC-16870,Lena Cacioppo,Consumer
RR-19525,Rick Reed,Corporate
KD-16270,Karen Daniels,Consumer
ON-18715,Odella Nelson,Corporate
BH-11710,Brosina Hoffman,Consumer
JG-15310,Jason Gross,Corporate
CC-12670,Craig Carreira,Consumer
CC-12220,Chris Cortes,Consumer
TS-21160,Theresa Swint,Corporate
AA-10315,Alex Avila,Consumer
MG-17890,Michael Granlund,Home Office
RF-19345,Randy Ferguson,Corporate
RD-19480,Rick Duston,Consumer
EM-13810,Eleni McCrary,Corporate
RW-19630,Rob Williams,Corporate
JB-16045,Julia Barnett,Home Office
EB-13705,Ed Braxton,Corporate
ZC-21910,Zuschuss Carroll,Consumer
BD-11620,Brian DeCherney,Consumer
GB-14575,Giulietta Baptist,Consumer
SJ-20125,Sanjit Jacobs,Home Office
SP-20650,Stephanie Phelps,Corporate
RB-19465,Rick Bensley,Home Office
PS-18760,Pamela Stobb,Consumer
CJ-12010,Caroline Jumper,Consumer
BD-11770,Bryan Davis,Consumer
KF-16285,Karen Ferguson,Home Office
RH-19510,Rick Huthwaite,Home Office
MH-17785,Maya Herman,Corporate
MB-18085,Mick Brown,Consumer
JP-16135,Julie Prescott,Home Office
BT-11485,Brad Thomas,Home Office
MC-18130,Mike Caudle,Corporate
CK-12595,Clytie Kelty,Consumer
DK-13225,Dean Katz,Corporate
SW-20245,Scot Wooten,Consumer
TW-21025,Tamara Willingham,Home Office
LT-17110,Liz Thompson,Consumer
AB-10060,Adam Bellavance,Home Office
EH-13765,Edward Hooks,Corporate
SC-20770,Stewart Carmichael,Corporate
DB-13360,Dennis Bolton,Home Office
HZ-14950,Henia Zydlo,Consumer
MM-18280,Muhammed MacIntyre,Corporate
SP-20545,Sibella Parks,Corporate
PL-18925,Paul Lucas,Home Office
FC-14335,Fred Chung,Corporate
MY-18295,Muhammed Yedwab,Corporate
CS-12355,Christine Sundaresam,Consumer
VM-21835,Vivian Mathis,Consumer
GZ-14470,Gary Zandusky,Consumer
AC-10660,Anna Chung,Consumer
RO-19780,Rose O'Brian,Consumer
DB-13060,Dave Brooks,Consumer
BT-11440,Bobby Trafton,Consumer
SV-20935,Susan Vittorini,Consumer
CC-12610,Corey Catlett,Corporate
PB-19105,Peter Bühler,Consumer
RD-19660,Robert Dilbeck,Home Office
AH-10030,Aaron Hawkins,Corporate
KT-16465,Kean Takahito,Consumer
DM-12955,Dario Medina,Corporate
RB-19645,Robert Barroso,Corporate
DR-12880,Dan Reichenbach,Corporate
VG-21805,Vivek Grady,Corporate
DC-12850,Dan Campbell,Consumer
DK-12835,Damala Kotsonis,Corporate
DB-13210,Dean Braden,Consumer
MV-17485,Mark Van Huff,Consumer
DS-13180,David Smith,Corporate
AS-10045,Aaron Smayling,Corporate
ME-17320,Maria Etezadi,Home Office
JM-15250,Janet Martin,Consumer
TB-21595,Troy Blackwell,Consumer
CP-12085,Cathy Prescott,Corporate
CS-11950,Carlos Soltero,Consumer
EH-13990,Erica Hackney,Consumer
RB-19360,Raymond Buch,Consumer
BB-10990,Barry Blumstein,Corporate
TB-21175,Thomas Boland,Corporate
DB-12910,Daniel Byrd,Home Office
DJ-13420,Denny Joy,Corporate
ZD-21925,Zuschuss Donatelli,Consumer
SR-20740,Steven Roelle,Home Office
EH-14185,Evan Henry,Consumer
BC-11125,Becky Castell,Home Office
GM-14455,Gary Mitchum,Home Office
JH-16180,Justin Hirsh,Consumer
VM-21685,Valerie Mitchum,Home Office
YC-21895,Yoseph Carroll,Corporate
Dl-13600,Dorris liebe,Corporate
SF-20200,Sarah Foster,Consumer
ES-14080,Erin Smith,Corporate
AS-10240,Alan Shonely,Consumer
JL-15505,Jeremy Lonsdale,Consumer
LC-17140,Logan Currie,Consumer
EH-14125,Eugene Hildebrand,Home Office
RM-19375,Raymond Messe,Consumer
CK-12325,Christine Kargatis,Home Office
EB-13750,Edward Becker,Corporate
SW-20350,Sean Wendt,Home Office
HF-14995,Herbert Flentye,Consumer
FM-14215,Filia McAdams,Corporate
BT-11680,Brian Thompson,Consumer
QJ-19255,Quincy Jones,Corporate
BD-11605,Brian Dahlen,Consumer
BP-11290,Beth Paige,Consumer
JF-15295,Jason Fortune-,Consumer
SP-20920,Susan Pistek,Consumer
PB-19150,Philip Brown,Consumer
TB-21400,Tom Boeckenhauer,Consumer
JM-15580,Jill Matthias,Consumer
RB-19795,Ross Baird,Home Office
BD-11320,Bill Donatelli,Consumer
JK-16120,Julie Kriz,Home Office
AP-10915,Arthur Prichep,Consumer
BS-11365,Bill Shonely,Corporate
BM-11785,Bryan Mills,Consumer
PK-19075,Pete Kriz,Consumer
JM-15535,Jessica Myrick,Consumer
CS-12175,Charles Sheldon,Corporate
CR-12580,Clay Rozendal,Home Office
RF-19840,Roy Französisch,Consumer
TH-21115,Thea Hudgings,Corporate
CS-12490,Cindy Schnelling,Corporate
JO-15280,Jas O'Carroll,Consumer
KM-16720,Kunst Miller,Consumer
DN-13690,Duane Noonan,Consumer
